nds,"Saxon, Low","1,000. 10,000,000 understand it in Germany, but many fewer are native speakers (1996 R. Hahn)."
sli,"Silesian, Lower","12,000 in Poland. Population total all countries: 22,900."
ltz,Luxembourgish,"266,000 in Luxembourg (ELDIA 2012). Population total all countries: 336,710. L2 users: 50,000 in Luxembourg."
vmf,Mainfränkisch,"4,910,000 (2006)."
mhn,Mócheno,"1,900 (1992 R. Zamponi). 400 Fierozzo, 1,000 Palú, 460 Gereut."
pdc,"German, Pennsylvania","118,000 in United States (2010 census), increasing. Population total all countries: 133,000. Ethnic population: 200,000 (Kloss 1981)."
pdt,Plautdietsch,"80,000 in Canada (Salminen 2007). Population total all countries: 394,900."
swg,Swabian,"819,000 (2006). Ethnic population: 820,000 (2000)."
swg,Swabian,"819,000 (2006). Ethnic population: 820,000 (2000)."
gsw,"German, Swiss","4,640,000 in Switzerland (2000 census). Population total all countries: 6,469,000."
uln,Unserdeutsch,No known L1 speakers (2002 SIL). May be extinct (2002 J. Brownie).
sxu,"Saxon, Upper","2,000,000 (1998 A. Thomsen)."
wae,Walser,"10,000 in Switzerland (2004). Population total all countries: 22,780. Ethnic population: 21,900 (1980 C. Buchli)."
hrx,Hunsrik,"3,000,000 in Brazil. Ethnic population: 5,000,000."
yec,Yeniche,"16,000 in Germany (2006)."
jpn,Japanese,"121,000,000 in Japan (1985). Population figure may include other ethnic groups. Population total all countries: 122,056,940. L2 users: 1,000,000 in Japan."
fas,Persian,"A macrolanguage. Population total all languages: 56,645,100."
prs,Dari,"7,600,000 in Afghanistan (2011 census), increasing. Population total all countries: 9,600,000. Ethnic population: 7,600,000. L2 users: All other language groups have Dari speakers, especially those who live in the city of Kabul."
pes,"Persian, Iranian","45,000,000 in Iran (2011), increasing. 800,000 Eastern Farsi in Khorasan speak dialects which are transitional with Iranian Persian. Population total all countries: 47,045,100."
tgk,Tajiki,"3,340,000 in Tajikistan (1991). Population total all countries: 4,479,650."
aiq,Aimaq,"480,000 in Afghanistan (1993). Population total all countries: 650,000."
bhh,Bukharic,"50,000 in Israel (1995 H. Mutzafi). Population total all countries: 110,000."
haz,Hazaragi,"1,770,000 in Afghanistan (2000). Population total all countries: 2,210,000."
jpr,Dzhidi,"60,000 in Israel (1995)."
phv,Pahlavani,No known L1 speakers.
deh,Dehwari,"13,000 (1998)."
jdt,Judeo-Tat,"2,010 in Russian Federation (2010 census). Census includes Tat "
jdt,Judeo-Tat,". Population total all countries: 96,010."
ttt,"Tat, Muslim","18,000 in Azerbaijan (1989 census). Population total all countries: 28,010. Ethnic population: 22,000 (1990 A. Kibrik)."
swa,Swahili,"A macrolanguage. Population total all languages: 15,458,390."
swc,"Swahili, Congo","1,000 in Democratic Republic of the Congo. L2 users: 9,100,000 in Democratic Republic of the Congo (1991 UBS)."
swh,Swahili,"15,000,000 in Tanzania (2012), increasing. Population total all countries: 15,457,390. L2 users: Probably over 80% of rural people are L2 users; they use the local language for most activities, but Swahili "
swh,Swahili, with outsiders.
ymk,Makwe,"22,000 in Mozambique (2003). Population total all countries: 32,000."
wmw,Mwani,"100,000 (2006). L2 users: 20,000."
tel,Telugu,"73,800,000 in India (2001 census). Population total all countries: 74,049,000. L2 users: 5,000,000 in India."
jav,Javanese,"84,300,000 in Indonesia (2000 census). 25,000 in south Sulawesi, and 69,000,000 on Java, 500,000 of them being in Banten region and 2,500,000 in Cirebon region of Java. Population total all countries: 84,308,740."
wuu,"Chinese, Wu","77,200,000 in China (1984). Population total all countries: 77,202,480."
kor,Korean,"48,400,000 in Korea, South (2010). Population total all countries: 77,166,230."
tam,Tamil,"60,700,000 in India (2001 census). Population total all countries: 68,763,360. L2 users: 8,000,000 in India."
mar,Marathi,"71,700,000 in India (2001 census). Population total all countries: 71,780,660. L2 users: 3,000,000 in India."
yue,"Chinese, Yue","52,000,000 in China (1984). Population total all countries: 62,221,560."
vie,Vietnamese,"65,800,000 in Viet Nam (1999 census). Population total all countries: 67,778,030. Ethnic population: 73,600,000 (2009 census)."
ita,Italian,"57,700,000 in Italy (ELDIA 2012). Population total all countries: 63,655,047."
